CS_ID	Keyword_ID	Intent_1	Authority
CS_04941	inflammatory polyarthropathy	Generic	Expert
CS_04942	cure for irregular heartbeat	Guide	Expert
CS_04943	natural treatment for cystitis	Guide	Expert
CS_04944	blood clot in thigh	Generic	Expert
CS_04945	discharge after hysterectomy	Generic	Expert
CS_04946	carcinoid tumor treatment	Guide	Expert
CS_04947	urine creatinine level	Generic	Expert
CS_04948	scratch off codes	Direct Answer	Expert
CS_04949	what is in alka seltzer	Generic	Expert
CS_04950	carotid artery stent	Generic	Expert
CS_04951	rebuild knee cartilage	Generic	Expert
CS_04952	best dermatologist in houston	Generic	General
CS_04953	severe arthritis in neck	Generic	Expert
CS_04954	iv antibiotics for mrsa	Direct Answer	Expert
CS_04955	what is a colposcopy procedure	Generic	Expert
CS_04956	how to stop receding gums	Guide	Expert
CS_04957	cures for glaucoma	Guide	Expert
CS_04958	liver cancer photos	Resource	Expert
CS_04959	pictures of pubic lice bites	Resource	Expert
CS_04960	bloated and swollen stomach	Generic	Expert
CS_04961	worms in the human body	Generic	Expert
CS_04962	pictures of bug bites	Resource	General
CS_04963	exercise for rotator cuff	Generic	Expert
CS_04964	coq 10 and statins	Generic	Expert
CS_04965	health problems from alcohol	Direct Answer	Expert
CS_04966	what is acute pharyngitis	Direct Answer	Expert
CS_04967	ferritin deficiency causes	Direct Answer	Expert
CS_04968	shingles itching	Generic	Expert
CS_04969	hipaa violations	Direct Answer	Expert
CS_04970	what causes discharge	Direct Answer	Expert
CS_04971	lymphoma non cancerous	Generic	Expert
CS_04972	joint pain and swelling	Generic	Expert
CS_04973	cpt codes list pdf	Resource	General
CS_04974	smz tmp ds 800-160	Generic	Expert
CS_04975	what cause eczema	Direct Answer	Expert
CS_04976	mites treatment for humans	Guide	Expert
CS_04977	how to lower alt levels	Guide	Expert
CS_04978	urcinol reviews	Generic	Opinion
CS_04979	horse chestnut side effects	Direct Answer	General
CS_04980	uhc military west	Navigational	Expert
CS_04981	how to stop nosebleeds fast	Guide	Expert
CS_04982	facelift recovery day by day	Direct Answer	Expert
CS_04983	journal format sample	Resource	General
CS_04984	ct scan pictures	Resource	General
CS_04985	3d mammography cpt code	Direct Answer	Expert
CS_04986	what is a laparoscopic surgery	Generic	Expert
CS_04987	about pain management	Generic	General
CS_04988	what is alpha thalassemia	Generic	Expert
CS_04989	frankincense oil cancer	Generic	Expert
CS_04990	how to get rid of gout fast	Guide	Expert
CS_04991	sharp pain in right groin area	Generic	Expert
CS_04992	lung transplant criteria	Generic	Expert
CS_04993	acid reflux diet recipes	Resource	Expert
CS_04994	how to treat spider bites	Guide	Expert
CS_04995	treating meniere's disease	Guide	Expert
CS_04996	ginger for arthritis pain	Direct Answer	Expert
CS_04997	how to take alpha lipoic acid	Guide	Expert
CS_04998	cvs for employees	Resource	General
CS_04999	inflamed heart symptoms	Direct Answer	Expert
CS_05000	bone pain in legs	Generic	Expert
CS_05001	pictures of shingles on back	Resource	General
CS_05002	what is lung disease	Generic	Expert
CS_05003	statins and cancer	Generic	Expert
CS_05004	much sodium should you have day	Direct Answer	General
CS_05005	adult muscular dystrophy	Generic	Expert
CS_05006	what is unipolar depression	Generic	Expert
CS_05007	normal estrogen levels men	Direct Answer	Expert
CS_05008	ltl freight classification	Direct Answer	Expert
CS_05009	what's devic disease	Generic	Expert
CS_05010	yoga for spinal stenosis	Direct Answer	Expert
CS_05011	liver specialist	Direct Answer	Expert
CS_05012	what is a ileostomy	Generic	Expert
CS_05013	contact dermatitis pics	Resource	Expert
CS_05014	behind the ear	Generic	Expert
CS_05015	food to avoid for arthritis	Direct Answer	Expert
CS_05016	radioactive iodine treatment	Guide	Expert
CS_05017	psoriasis arthritis symptoms	Direct Answer	Expert
CS_05018	stage 1 prostate cancer	Generic	Expert
CS_05019	fibroid surgery	Generic	Expert
CS_05020	pain in back of the leg	Generic	Expert
CS_05021	malaria immunization	Generic	Expert
CS_05022	treatment for bruised bone	Guide	Expert
CS_05023	right back pain kidney	Generic	Expert
CS_05024	bone spurs in the foot	Generic	Expert
CS_05025	signs symptoms of uti	Direct Answer	Expert
CS_05026	patient eligibility	Generic	Expert
CS_05027	bird droppings	Generic	Expert
CS_05028	removal of thyroid nodules	Guide	Expert
CS_05029	causes of night terrors	Direct Answer	Expert
CS_05030	phosphorus levels	Generic	Expert
CS_05031	c diss bacteria	Generic	Expert
CS_05032	diet after right hemicolectomy	Resource	Expert
CS_05033	hospice care	Generic	General
CS_05034	what is lung fungus	Generic	Expert
CS_05035	dr wong systemic enzymes	Generic	Expert
CS_05036	blood pressure in the elderly	Generic	Expert
CS_05037	hematologist oncologist	Generic	Expert
CS_05038	cold hands causes	Direct Answer	Expert
CS_05039	blisters in the mouth	Generic	Expert
CS_05040	late stages of lyme disease	Generic	Expert
CS_05041	hard lump on back	Generic	Expert
CS_05042	muscle back pain symptoms	Direct Answer	Expert
CS_05043	bright red blood in urine	Direct Answer	Expert
CS_05044	what is mold remediation	Generic	Expert
CS_05045	lipid levels	Direct Answer	Expert
CS_05046	home remedies for phlegm	Direct Answer	Expert
CS_05047	the cause of swollen feet	Direct Answer	Expert
CS_05048	castle dental coupons	Transactional	Expert
CS_05049	citracal side effects	Direct Answer	Expert
CS_05050	bulging veins in hands	Generic	Expert
CS_05051	what causes a sociopath	Direct Answer	Expert
CS_05052	signs of heart valve problems	Direct Answer	Expert
CS_05053	macular dystrophy symptoms	Direct Answer	Expert
CS_05054	what causes fibromyalgia	Direct Answer	Expert
CS_05055	herbs for inflammation	Direct Answer	Expert
CS_05056	iodine deficiency symptoms	Direct Answer	Expert
CS_05057	benecol chews side effects	Direct Answer	Expert
CS_05058	what is hiv 1 and 2	Generic	Expert
CS_05059	temporary kidney dialysis	Direct Answer	Expert
CS_05060	borderline diabetic menu	Resource	Expert
CS_05061	natural cure for shingles	Direct Answer	Expert
CS_05062	what are the symptoms of tmj	Direct Answer	Expert
CS_05063	what makes your heart flutter	Direct Answer	Expert
CS_05064	what is strep rash	Generic	Expert
CS_05065	hypertrophy of prostate	Generic	Expert
CS_05066	throat cancer statistics	Direct Answer	Expert
CS_05067	what causes mild seizures	Direct Answer	Expert
CS_05068	astigmatism definition	Generic	General
CS_05069	pain on right side of groin	Generic	Expert
CS_05070	kidney stent surgery	Generic	Expert
CS_05071	types of prejudice	Direct Answer	Expert
CS_05072	cat parvo symptoms	Direct Answer	Expert
CS_05073	copd support groups	Direct Answer	General
CS_05074	pictures of gout in fingers	Resource	General
CS_05075	pro plus side effects	Direct Answer	Expert
CS_05076	lupus cancer symptoms	Direct Answer	Expert
CS_05077	swelling of feet and ankles	Generic	Expert
CS_05078	gonorrhea drug treatment	Guide	Expert
CS_05079	cmp blood test	Generic	Expert
CS_05080	foot fungus treatment	Guide	Expert
CS_05081	how to treat mucus in throat	Guide	Expert
CS_05082	heel bone spur surgery	Generic	Expert
CS_05083	why legs ache	Generic	Expert
CS_05084	colostomy bag pictures	Resource	Expert
CS_05085	what is quality patient care	Generic	Expert
CS_05086	pictures of uterus cancer	Resource	Expert
CS_05087	treating hepatitis c	Direct Answer	Expert
CS_05088	what is a calcium score	Generic	General
CS_05089	bladder biopsy	Generic	Expert
CS_05090	pityriasis pictures	Resource	Expert
CS_05091	fluctuating psa levels	Generic	Expert
CS_05092	what is a chemo port	Direct Answer	General
CS_05093	can too much water hurt you	Direct Answer	Expert
CS_05094	symptoms of a tooth cavity	Direct Answer	Expert
CS_05095	cause of spider veins	Direct Answer	Expert
CS_05096	clots in lungs symptoms	Direct Answer	Expert
CS_05097	saffron benefits	Direct Answer	Expert
CS_05098	foods that reduce uric acids	Direct Answer	Expert
CS_05099	tooth decay pictures	Resource	General
CS_05100	why is my right leg swollen	Direct Answer	Expert
CS_05101	what is normal psa range	Direct Answer	Expert
CS_05102	cures for heberden's nodes	Direct Answer	Expert
CS_05103	what is cardiac inversion	Generic	Expert
CS_05104	how to use dmso for pain	Guide	Expert
CS_05105	what is a doppler	Generic	Expert
CS_05106	trichomoniasis men treatment	Guide	Expert
CS_05107	how can you get chlamydia	Direct Answer	Expert
CS_05108	esophageal manometry test	Generic	Expert
CS_05109	hoarseness and thyroid	Generic	Expert
CS_05110	what is the tdap shot	Generic	Expert
CS_05111	cause of polymyositis	Direct Answer	Expert
CS_05112	facial veins causes	Direct Answer	Expert
CS_05113	aneurysm in the eye	Generic	Expert
CS_05114	chronic lyme disease doctors	Direct Answer	Expert
CS_05115	pneumonia treatment home	Guide	Expert
CS_05116	criteria for heart transplant	Direct Answer	Expert
CS_05117	symptoms of mental disorders	Direct Answer	Expert
CS_05118	blood test for thalassemia	Generic	Expert
CS_05119	how hemorrhoids look like	Generic	Expert
CS_05120	food poisoning treatment	Guide	Expert
CS_05121	food for lupus	Direct Answer	Expert
CS_05122	papillary cancer survival rate	Direct Answer	Expert
CS_05123	signs of heart attack women	Direct Answer	Expert
CS_05124	cervical lesions pictures	Resource	General
CS_05125	signs of alcoholism in women	Direct Answer	Expert
CS_05126	remedy for blood clot in leg	Direct Answer	Expert
CS_05127	gestation period of a cow	Direct Answer	General
CS_05128	kansas payment center	Generic	General
CS_05129	merca infection	Generic	Expert
CS_05130	low sodium menu	Resource	General
CS_05131	what is myelomalacia	Generic	Expert
CS_05132	alcoholic hotline	Generic	General
CS_05133	gum abscess pictures	Resource	Expert
CS_05134	do hemorrhoids go away	Direct Answer	Expert
CS_05135	what is oblation	Generic	General
CS_05136	female lower abdominal pain	Generic	Expert
CS_05137	mild concussion test	Generic	Expert
CS_05138	how much do invisaligns cost	Transactional	General
CS_05139	prostate cancer mortality rate	Generic	Expert
CS_05140	neck and arm pain causes	Direct Answer	Expert
CS_05141	what to do bee sting	Guide	Expert
CS_05142	what is target heart rate	Direct Answer	Expert
CS_05143	hemorrhoid surgery doctor	Generic	Expert
CS_05144	photos of cancer patients	Resource	General
CS_05145	parkinsonism treatment	Guide	Expert
CS_05146	v mueller surgical instruments	Generic	Expert
CS_05147	how to diagnose adult add	Guide	Expert
CS_05148	is ringworm contagious	Direct Answer	Expert
CS_05149	thyroid dosage	Generic	Expert
CS_05150	what is lymphoedema	Generic	Expert
CS_05151	what cause a fatty liver	Direct Answer	Expert
CS_05152	malignant lung neoplasm	Generic	Expert
CS_05153	skin tag removal at home	Direct Answer	Expert
CS_05154	equine chiropractors	Generic	Expert
CS_05155	hernia types pictures	Resource	Expert
CS_05156	heart valve leak	Generic	Expert
CS_05157	how to take imodium	Guide	Expert
CS_05158	leaking heart valve causes	Direct Answer	Expert
CS_05159	bee sting home treatment	Guide	Expert
CS_05160	exercises for tinnitus	Generic	Expert
CS_05161	diet after intestinal surgery	Resource	Expert
CS_05162	moles pictures	Resource	General
CS_05163	influenza type a	Generic	Expert
CS_05164	sugar range for diabetes	Direct Answer	Expert
CS_05165	tonsil cancer prognosis	Direct Answer	Expert
CS_05166	bronchitis information	Generic	Expert
CS_05167	anal cancer	Generic	Expert
CS_05168	sugar side effects	Direct Answer	Expert
CS_05169	redundant colon symptoms	Direct Answer	Expert
CS_05170	types of intraocular lens	Direct Answer	Expert
CS_05171	sensory nerve damage	Generic	Expert
CS_05172	kinked bowel symptoms	Direct Answer	Expert
CS_05173	cherry angioma picture	Resource	Expert
CS_05174	how to treat bells palsy	Guide	Expert
CS_05175	prostrate operation	Generic	Expert
CS_05176	patient portal login	Generic	General
CS_05177	where to buy turpentine	Direct Answer	Expert
CS_05178	laparoscopic ovarian surgery	Generic	Expert
CS_05179	probiotic acidophilus dosage	Direct Answer	Expert
CS_05180	exercise after heart stent	Generic	Expert
CS_05181	labral hip tear treatment	Guide	Expert
CS_05182	what is hashimoto thyroiditis	Generic	Expert
CS_05183	where to buy qsymia	Transactional	General
CS_05184	fatty liver pain symptoms	Direct Answer	Expert
CS_05185	cherry extract side effects	Direct Answer	Expert
CS_05186	health and wellness clinics	Generic	General
CS_05187	tricare military benefits	Generic	Expert
CS_05188	eye inflammation remedies	Direct Answer	Expert
CS_05189	full physical examination	Generic	Expert
CS_05190	red eye infection symptoms	Direct Answer	Expert
CS_05191	concussion side effects	Direct Answer	Expert
CS_05192	what causes osteophytes	Direct Answer	Expert
CS_05193	soothanol x2 reviews	Direct Answer	General
CS_05194	hemoglobin levels women	Generic	Expert
CS_05195	leg cramps charley horse	Generic	Expert
CS_05196	pinched nerve neck	Generic	Expert
CS_05197	bone scan images	Resource	General
CS_05198	what causes lupus rash	Direct Answer	Expert
CS_05199	diseases of the toenails	Direct Answer	Expert
CS_05200	cost of stem cell therapy	Transactional	Expert
CS_05201	ferrous sulphate 325 mg	Direct Answer	Expert
CS_05202	anacin ingredients	Direct Answer	General
CS_05203	is yogurt good for acid reflux	Direct Answer	Expert
CS_05204	neurosarcoidosis symptoms	Direct Answer	Expert
CS_05205	hand problems	Generic	Expert
CS_05206	lilly diabetes log book	Resource	General
CS_05207	best treatment for a bee sting	Guide	Expert
CS_05208	leg tendon pain	Generic	Expert
CS_05209	oxinium hip replacement	Generic	Expert
CS_05210	implantable defibrillator cost	Transactional	Expert
CS_05211	fungal pneumonia symptoms	Direct Answer	Expert
CS_05212	medical physical form	Resource	General
CS_05213	improve foot circulation	Guide	Expert
CS_05214	rabies vaccine for people	Direct Answer	Expert
CS_05215	papaya enzyme benefits	Direct Answer	Expert
CS_05216	what is mpls network	Generic	Expert
CS_05217	orthopedic hand doctor	Direct Answer	Expert
CS_05218	foods that fight diabetes	Direct Answer	Expert
CS_05219	pink eye contagious	Direct Answer	Expert
CS_05220	is vinegar good for gout	Generic	Expert
CS_05221	bronson mychart	Resource	Expert
CS_05222	lou garrett disease	Generic	Expert
CS_05223	pulmonary heart disease	Generic	Expert
CS_05224	causes dark green stool	Direct Answer	Expert
CS_05225	what is a ecg	Generic	Expert
CS_05226	side effects from tick bites	Direct Answer	Expert
CS_05227	how can you see bed bugs	Generic	General
CS_05228	home care agencies	Generic	Expert
CS_05229	alcoholic hepatitis	Generic	Expert
CS_05230	treatments for ataxia	Guide	Expert
CS_05231	where is pelvic pain	Direct Answer	Expert
CS_05232	hot feeling in leg	Generic	Expert
CS_05233	dehumidifier when to use	Generic	Expert
CS_05234	protime normal range	Direct Answer	Expert
CS_05235	what causes severe diarrhea	Direct Answer	Expert
CS_05236	current stomach viruses	Generic	Expert
CS_05237	liver disease symptoms in women	Direct Answer	Expert
CS_05238	stool in colon	Generic	Expert
CS_05239	aching pain in left leg	Generic	Expert
CS_05240	arthritis side effects	Direct Answer	Expert
CS_05241	paymap inc. mtg paymnt	Resource	General
CS_05242	psoratic arthritis symptoms	Direct Answer	Expert
CS_05243	cause of eczema on hands	Direct Answer	Expert
CS_05244	low red blood cells	Direct Answer	Expert
CS_05245	whipple surgery images	Resource	General
CS_05246	heart ablation recovery	Direct Answer	Expert
CS_05247	side effects of varicose veins	Direct Answer	Expert
CS_05248	medical prices	Transactional	General
CS_05249	fusion surgery	Generic	Expert
CS_05250	right side tenderness	Direct Answer	Expert
CS_05251	regurgitation symptoms	Direct Answer	Expert
CS_05252	causes neuropathy	Direct Answer	Expert
CS_05253	fasting blood sugar numbers	Generic	Expert
CS_05254	ulcer in small intestine	Generic	Expert
CS_05255	head lice after treatment	Guide	Expert
CS_05256	degenerative spine symptoms	Direct Answer	Expert
CS_05257	saint jude pacemaker	Direct Answer	Expert
CS_05258	health quiz	Generic	General
CS_05259	elevated chromogranin a	Direct Answer	Expert
CS_05260	eeg test for seizures	Generic	Expert
CS_05261	immunization record card	Resource	General
CS_05262	menopause and constipation	Direct Answer	Expert
CS_05263	sinus odor	Generic	Expert
CS_05264	how to treat mouth ulcers	Guide	Expert
CS_05265	causes of excess saliva	Direct Answer	Expert
CS_05266	blood type diet food lists	Resource	Expert
CS_05267	scope knee surgery	Generic	Expert
CS_05268	what are statins used for	Generic	Expert
CS_05269	lumbar radiculopathy surgery	Generic	Expert
CS_05270	foods high purine	Generic	Expert
CS_05271	warning signs of melanoma	Direct Answer	Expert
CS_05272	free gloves	Generic	General
CS_05273	e pylori bacteria stomach	Generic	Expert
CS_05274	medical terminology suffixes	Generic	Expert
CS_05275	reasons for leg cramps	Direct Answer	Expert
CS_05276	download hipaa form	Resource	General
CS_05277	stomach pain and diarrhea	Generic	Expert
CS_05278	what do skin tags look like	Generic	Expert
CS_05279	what is the tdap shot for	Direct Answer	Expert
CS_05280	cyst treatment at home	Guide	Expert
CS_05281	withdrawal seizures	Generic	Expert
CS_05282	where are salivary glands	Direct Answer	Expert
CS_05283	anterolisthesis at c4 c5	Generic	Expert
CS_05284	what is beet juice good for	Direct Answer	Expert
CS_05285	what is fenugreek used for	Generic	Expert
CS_05286	post appendectomy recovery	Generic	Expert
CS_05287	best ablation doctors	Direct Answer	Opinion
CS_05288	what is metaplasia	Generic	Expert
CS_05289	what causes mucus in chest	Direct Answer	Expert
CS_05290	hernia symptoms for men	Direct Answer	Expert
CS_05291	wolf spider identify	Generic	General
CS_05292	what is a lipid test	Generic	Expert
CS_05293	hantavirus symptoms onset	Direct Answer	Expert
CS_05294	what is 5 htp supplement	Direct Answer	Expert
CS_05295	how to boost appetite	Guide	Expert
CS_05296	vaccine price list	Direct Answer	Expert
CS_05297	colon surgery side effects	Direct Answer	Expert
CS_05298	pancreatic cancer society	Direct Answer	Expert
CS_05299	cpt assistant	Generic	General
CS_05300	brain angiogram procedure	Guide	Expert
CS_05301	types of dementia chart	Resource	General
CS_05302	deteriorating discs in back	Direct Answer	Expert
CS_05303	duration of shingles pain	Direct Answer	Expert
CS_05304	frostbite remedies	Guide	Expert
CS_05305	treatment of multiple myeloma	Guide	Expert
CS_05306	what is incontinence	Generic	Expert
CS_05307	porokeratosis treatments	Guide	Expert
CS_05308	how to treat severe diarrhea	Guide	Expert
CS_05309	define emotional abuse	Generic	Expert
CS_05310	8 mm lung nodule	Generic	Expert
CS_05311	eosinophils blood test	Generic	Expert
CS_05312	what is the sciatica	Generic	Expert
CS_05313	pineal cyst in brain symptoms	Direct Answer	Expert
CS_05314	staph infections pictures	Resource	Expert
CS_05315	sinus infection swelling face	Generic	Expert
CS_05316	types of probiotics	Direct Answer	Expert
CS_05317	side effects of vertigo	Direct Answer	Expert
CS_05318	degenerative knee disease	Generic	Expert
CS_05319	depo shots side effects	Direct Answer	Expert
CS_05320	what is arthritis disease	Generic	Expert
CS_05321	leg pain treatment	Guide	Expert
CS_05322	chemotherapy and lupus	Generic	Expert
CS_05323	what is safflower	Generic	Expert
CS_05324	campho phenique uses	Generic	Expert
CS_05325	spinal stenosis stretches	Direct Answer	Expert
CS_05326	ox bile side effects	Direct Answer	Expert
CS_05327	feet problems with diabetes	Generic	Expert
CS_05328	fluid around the lung	Generic	Expert
CS_05329	lower cholesterol fast	Generic	Expert
CS_05330	calf muscle pain in both legs	Generic	Expert
CS_05331	black tongue disease	Generic	Expert
CS_05332	how to insert catheter	Guide	Expert
CS_05333	what is pancreas cancer	Generic	Expert
CS_05334	psa test normal range age	Direct Answer	Expert
CS_05335	list of medications	Direct Answer	Expert
CS_05336	hemorrhage in eye	Generic	Expert
CS_05337	what is sugar in urine	Generic	Expert
CS_05338	diet to lower glucose	Resource	Expert
CS_05339	flu vaccine forms	Resource	Expert
CS_05340	thick blood treatment	Guide	Expert
CS_05341	hammer toe treatment	Guide	Expert
CS_05342	diuretic foods and drinks list	Generic	Expert
CS_05343	is leukemia contagious	Direct Answer	Expert
CS_05344	l lysine and cold sores	Generic	Expert
CS_05345	mercer staph infection pictures	Resource	General
CS_05346	home remedy for gum boil	Direct Answer	Expert
CS_05347	chronic lymphatic leukemia	Generic	Expert
CS_05348	benefits of cocoa	Direct Answer	General
CS_05349	symptoms of anemia in adults	Direct Answer	Expert
CS_05350	what is cadasil	Generic	Expert
CS_05351	hepatic cysts on liver	Generic	Expert
CS_05352	ocd test for kids	Generic	Expert
CS_05353	national cancer society	Navigational	General
CS_05354	natural remedies for gerd	Direct Answer	Expert
CS_05355	test for stroke	Direct Answer	Expert
CS_05356	mucus coming out of rectum	Generic	Expert
CS_05357	autoimmune kidney disease	Generic	Expert
CS_05358	tingling feet and fingers	Generic	Expert
CS_05359	veinwave treatment	Guide	Expert
CS_05360	what does error 404 mean	Generic	General
CS_05361	thyroid blood test levels	Generic	Expert
CS_05362	psoriasis arthritis diet	Resource	Expert
CS_05363	how to cure hives	Guide	Expert
CS_05364	ground wasp removal	Generic	Expert
CS_05365	diabetes and yeast infections	Generic	Expert
CS_05366	hobo spider bite photos	Resource	General
CS_05367	treatment irregular heartbeat	Guide	Expert
CS_05368	throat diseases	Generic	Expert
CS_05369	ucc termination form	Resource	General
CS_05370	contour test strips free	Generic	General
CS_05371	stem cell transplant	Generic	Expert
CS_05372	what to do when constipated	Generic	Expert
CS_05373	famous people with adhd	Direct Answer	General
CS_05374	about knee injuries	Generic	Expert
CS_05375	prolapsed hemorrhoid surgery	Generic	Expert
CS_05376	causes of lump in cheek	Direct Answer	Expert
CS_05377	heart aortic aneurysm	Generic	Expert
CS_05378	causes of facial pain	Direct Answer	Expert
CS_05379	what is a ophthalmologist	Generic	General
CS_05380	ringing in head and ears	Generic	Expert
CS_05381	severe hemorrhoid pain relief	Direct Answer	Expert
CS_05382	sore tongue treatment	Guide	Expert
CS_05383	what should my psa level be	Direct Answer	Expert
CS_05384	aortic valve leaking	Generic	Expert
CS_05385	budeprion xl 150 mg	Direct Answer	Expert
CS_05386	why do you get shingles	Direct Answer	Expert
CS_05387	relief from sciatica pain	Direct Answer	Expert
CS_05388	papular rash pictures	Resource	General
CS_05389	what is evangelism	Generic	General
CS_05390	antibiotics used for rosacea	Direct Answer	Expert
CS_05391	what is mild autism	Generic	Expert
CS_05392	c 125 test ovarian cancer	Generic	Expert
CS_05393	what do hernias look like	Generic	Expert
CS_05394	deplin 15 mg side effects	Direct Answer	Expert
CS_05395	best dentist in my area	Direct Answer	Opinion
CS_05396	pneumonia booster shot	Generic	Expert
CS_05397	hcl side effects	Direct Answer	Expert
CS_05398	how to treat yeast infections	Guide	Expert
CS_05399	cure for black eye	Direct Answer	Expert
CS_05400	what is a catheter used for	Generic	Expert
CS_05401	sigmoid cancer symptoms	Direct Answer	Expert
CS_05402	religious exemption form	Resource	General
CS_05403	naples physicians	Direct Answer	General
CS_05404	mustard leg cramps	Generic	Expert
CS_05405	how to treat swimmer itch	Guide	Expert
CS_05406	homelessness in the us	Generic	General
CS_05407	clinics open late	Generic	General
CS_05408	toe cyst	Generic	Expert
CS_05409	causes of lump in throat	Direct Answer	Expert
CS_05410	treating gnat bites	Guide	Expert
CS_05411	free emergency dental care	Direct Answer	General
CS_05412	weakness in the legs	Generic	Expert
CS_05413	diabetic readings	Generic	Expert
CS_05414	how can i reduce stress	Guide	Expert
CS_05415	where is meniscus located	Direct Answer	Expert
CS_05416	opiod withdrawal symptoms	Direct Answer	Expert
CS_05417	ocular cancer symptoms	Direct Answer	Expert
CS_05418	hand therapy exercises	Direct Answer	Expert
CS_05419	hypothyroidism levels	Generic	Expert
CS_05420	bladder infection prevention	Guide	Expert
CS_05421	florida bed bugs pictures	Resource	General
CS_05422	images of strep throat	Resource	General
CS_05423	gastritis cancer symptoms	Direct Answer	Expert
CS_05424	ocd signs and symptoms	Direct Answer	Expert
CS_05425	tulsi tea side effects	Direct Answer	Expert
CS_05426	strengthsfinder online test	Guide	Expert
CS_05427	pictures melanoma stages	Resource	General
CS_05428	what is pap smear	Generic	Expert
CS_05429	catheter side effects	Direct Answer	Expert
CS_05430	jock itch groin pictures	Resource	Expert
CS_05431	head lice photo	Resource	General
CS_05432	harmful mold in homes	Generic	Expert
CS_05433	mrsa photos	Resource	General
CS_05434	elevated bun levels	Generic	Expert
CS_05435	doctors in hemet ca	Generic	General
CS_05436	statics on domestic violence	Generic	General
CS_05437	jaw cancer	Generic	Expert
CS_05438	pain left side below rib cage	Generic	Expert
CS_05439	causes of body twitching	Direct Answer	Expert
CS_05440	causes of alopecia	Direct Answer	Expert
CS_05441	major causes of pancreatitis	Direct Answer	Expert
CS_05442	sgot ast lab test results	Direct Answer	Expert
CS_05443	pelvic sonogram	Generic	Expert
CS_05444	side effects of kidney disease	Direct Answer	Expert
CS_05445	lumbar vertebrae fracture	Generic	Expert
CS_05446	lymph nodes cancer	Generic	Expert
CS_05447	itching forearms without rash	Generic	Expert
CS_05448	blood test for heart	Generic	Expert
CS_05449	benefits of turmeric	Direct Answer	General
CS_05450	pacemaker restrictions	Generic	Expert
CS_05451	chronic cough and wheezing	Generic	Expert
CS_05452	prostate cancer blood tests	Generic	Expert
CS_05453	cause of falls in elderly	Direct Answer	Expert
CS_05454	photo of chicken pox	Resource	Expert
CS_05455	facet pain treatment	Guide	Expert
CS_05456	treatment for canine diarrhea	Guide	Expert
CS_05457	stage 2 prostate cancer	Direct Answer	Expert
CS_05458	kidney failure and cancer	Direct Answer	Expert
CS_05459	providence hospital seattle	Generic	General
CS_05460	what is pre-eclampsia	Generic	Expert
CS_05461	serotonin levels	Generic	Expert
CS_05462	pictures hand foot syndrome	Resource	General
CS_05463	stage 3 melanoma	Generic	Expert
CS_05464	liver damage signs	Direct Answer	Expert
CS_05465	high pth levels	Direct Answer	Expert
CS_05466	da vinci hysterectomy cost	Transactional	Expert
CS_05467	torn shoulder muscle	Generic	Expert
CS_05468	lumbar spine fusion surgery	Generic	Expert
CS_05469	what are white blood cells	Generic	Expert
CS_05470	leukoplakia pictures	Resource	General
CS_05471	how to exterminate cats	Guide	Expert
CS_05472	what causes anger	Direct Answer	Expert
CS_05473	criminal expungement	Generic	Expert
CS_05474	first signs of ms	Direct Answer	Expert
CS_05475	surgery hysterectomy	Generic	Expert
CS_05476	symptoms of laxative abuse	Direct Answer	Expert
CS_05477	wheat gluten allergy	Generic	Expert
CS_05478	images of brain cancer	Resource	General
CS_05479	antibiotic for toothache	Generic	Expert
CS_05480	emphysema pictures	Resource	Expert
CS_05481	what is liver damage symptoms	Direct Answer	Expert
CS_05482	hiatus hernia treatments	Guide	Expert
CS_05483	cause of leg aches	Direct Answer	Expert
CS_05484	national poverty level income	Generic	General
CS_05485	seizures and driving	Generic	Expert
CS_05486	adhd test online free	Generic	Expert
CS_05487	where can i buy urcinol	Transactional	Opinion
CS_05488	hydroco 5-500 mg	Generic	Expert
CS_05489	malunggay side effects	Direct Answer	Expert
CS_05490	get rid of gas and bloating	Generic	Expert
CS_05491	impaired fasting glucose	Direct Answer	Expert
CS_05492	about hepatitis b	Generic	Expert
CS_05493	normal pulse reading	Direct Answer	Expert
CS_05494	cost of carpal tunnel surgery	Transactional	Expert
CS_05495	effects of obesity	Direct Answer	Expert
CS_05496	treatment of pinkeye	Guide	Expert
CS_05497	what is neck cancer	Generic	Expert
CS_05498	mild facet hypertrophy	Generic	Expert
CS_05499	natural cure for rosacea	Guide	Expert
CS_05500	bakers knee treatment	Guide	Expert
CS_05501	vulvodynia pictures	Resource	General
CS_05502	brain shunt procedure	Generic	Expert
CS_05503	valuable 45 records	Direct Answer	General
CS_05504	tuberculosis signs symptoms	Direct Answer	Expert
CS_05505	list of maoi inhibitors	Direct Answer	Expert
CS_05506	wd40 joint pain	Generic	Expert
CS_05507	early onset dementia	Direct Answer	Expert
CS_05508	full feeling in stomach	Generic	Expert
CS_05509	wellness benefits	Direct Answer	General
CS_05510	mini stroke in women	Generic	Expert
CS_05511	gall bladder herbal remedies	Direct Answer	Expert
CS_05512	inflammation of joints	Generic	Expert
CS_05513	shoulder rotator cuff surgery	Generic	Expert
CS_05514	cause of shingles stress	Direct Answer	Expert
CS_05515	lower leg hematoma	Generic	Expert
CS_05516	testicular hernia surgery	Direct Answer	Expert
CS_05517	type 1 diabetes diet	Resource	Expert
CS_05518	coughing up blood in mucus	Direct Answer	Expert
