CS_ID		Keyword	Intent_1	Authority
CS_02900		hospitals in germany	Direct Answer	General
CS_02901		sarcoma treatment	Direct Answer	Expert
CS_02902		bone cancer of the leg	Generic	Expert
CS_02903		best painkillers for toothache	Direct Answer	Opinion
CS_02904		vagus nerve stimulator	Generic	Expert
CS_02905		uterus thickening causes	Direct Answer	Expert
CS_02906		what to do for bed sores	Guide	Expert
CS_02907		how to fight depression	Guide	General
CS_02908		stages of senile dementia	Direct Answer	Expert
CS_02909		treatment for stuttering	Guide	Expert
CS_02910		va pest inspection form	Resource	Expert
CS_02911		hemp oil vs hemp seed oil	Direct Answer	Expert
CS_02912		treating actinic keratosis	Guide	Expert
CS_02913		ganoderma benefits	Direct Answer	Expert
CS_02914		gtf chromium side effects	Direct Answer	Expert
CS_02915		compression therapy	Generic	Expert
CS_02916		hctz 125 mg side effects	Direct Answer	Expert
CS_02917		cause of disc desiccation	Direct Answer	Expert
CS_02918		inflamed colon	Generic	Expert
CS_02919		chest contusion treatment	Direct Answer	Expert
CS_02920		flu vaccine ingredients	Direct Answer	Expert
CS_02921		cottonwood tree allergies	Direct Answer	Expert
CS_02922		list of gum diseases	Generic	General
CS_02923		cta scan	Generic	Expert
CS_02924		prognosis of sarcoma	Direct Answer	Expert
CS_02925		jaw pain one side	Direct Answer	Expert
CS_02926		questions about poverty	Generic	General
CS_02927		high calcium symptoms	Direct Answer	Expert
CS_02928		cataracts cause	Direct Answer	Expert
CS_02929		what is an rbc blood test for	Generic	Expert
CS_02930		blood count levels for anemia	Generic	Expert
CS_02931		blood clot in groin symptoms	Direct Answer	Expert
CS_02932		images of fever blisters	Resource	Expert
CS_02933		top 10 diseases in america	Direct Answer	General
CS_02934		normal heart beat per min	Direct Answer	Expert
CS_02935		is kidney failure painful	Generic	Expert
CS_02936		c5 c6 pinched nerve	Generic	Expert
CS_02937		late symptoms of hepatitis c	Direct Answer	Expert
CS_02938		exercise for bladder	Generic	Expert
CS_02939		prostate blood in urine	Generic	Expert
CS_02940		oily bowel movement	Direct Answer	Expert
CS_02941		signs and symptoms of aids	Direct Answer	Expert
CS_02942		ambulatory care centers	Direct Answer	General
CS_02943		severe lumbar stenosis	Generic	Expert
CS_02944		cracked vertebrae elderly	Generic	Expert
CS_02945		redness on face and neck	Generic	Expert
CS_02946		how to prevent hepatitis	Guide	Expert
CS_02947		signs of a bad gallbladder	Direct Answer	Expert
CS_02948		symptoms of colon cancer in men	Direct Answer	Expert
CS_02949		dark green bowel movement	Direct Answer	Expert
CS_02950		morning low blood sugar	Generic	Expert
CS_02951		causes for low hemoglobin	Direct Answer	Expert
CS_02952		mrsa rash pictures	Resource	General
CS_02953		ear crystals vertigo	Generic	Expert
CS_02954		esophagus pain when eating	Generic	Expert
CS_02955		cardiomyopathy survival rate	Generic	Expert
CS_02956		period cramp remedies	Guide	Expert
CS_02957		how do people get asthma	Direct Answer	Expert
CS_02958		bump on side of foot	Generic	Expert
CS_02959		pictures of phlegm	Resource	General
CS_02960		florida oak tree diseases	Generic	Expert
CS_02961		picture of lichen sclerosus	Resource	General
CS_02962		chronic abdominal pain	Generic	Expert
CS_02963		what is biological dentistry	Generic	Expert
CS_02964		about angiogram	Generic	Expert
CS_02965		sacrum pain relief	Direct Answer	Expert
CS_02966		avoid knee replacement	Direct Answer	Expert
CS_02967		feet and hand pain symptoms	Direct Answer	Expert
CS_02968		name all cancers	Generic	Expert
CS_02969		lines in palm of hand	Generic	General
CS_02970		what is canser	Generic	Expert
CS_02971		post herpetic neuropathy	Generic	Expert
CS_02972		flap surgery	Generic	Expert
CS_02973		what causes leiomyoma	Direct Answer	Expert
CS_02974		kyphosis pictures	Resource	General
CS_02975		post colonoscopy diarrhea	Generic	Expert
CS_02976		facts on secondhand smoke	Generic	General
CS_02977		degenerative osteo arthritis	Direct Answer	Expert
CS_02978		nettle leaf benefits	Direct Answer	General
CS_02979		treatment for hypotension	Guide	Expert
CS_02980		african diseases	Generic	Expert
CS_02981		choroidal nevus treatment	Guide	Expert
CS_02982		diabetes good numbers	Generic	Expert
CS_02983		how do you treat diabetes	Guide	Expert
CS_02984		about alkaline water	Generic	General
CS_02985		treatment for low tsh	Guide	Expert
CS_02986		metronidazol 500 mg	Generic	Expert
CS_02987		muira puama benefits	Direct Answer	Expert
CS_02988		who needs shingles vaccine	Direct Answer	Expert
CS_02989		bad bacteria	Generic	Expert
CS_02990		lyme disease rash itch	Generic	Expert
CS_02991		skin itching and burning	Direct Answer	Expert
CS_02992		normal ldh level	Generic	Expert
CS_02993		scar after mohs surgery	Direct Answer	Expert
CS_02994		chronic nerve pain	Generic	Expert
CS_02995		what is the cause of lupus	Direct Answer	Expert
CS_02996		severe hiccups treatment	Guide	Expert
CS_02997		hiatal hernia acid reflux	Generic	Expert
CS_02998		severe toothache remedies	Guide	Expert
CS_02999		dermatomyositis causes	Direct Answer	Expert
CS_03000		effects of hyperthyroidism	Direct Answer	Expert
CS_03001		b cell leukemia prognosis	Generic	Expert
CS_03002		how to perform an ekg	Guide	Expert
CS_03003		colon surgery recovery diet	Direct Answer	Expert
CS_03004		eccn number	Generic	Expert
CS_03005		what causes pollution	Direct Answer	General
CS_03006		hand hygiene facts	Generic	Expert
CS_03007		high levels of lipase	Generic	Expert
CS_03008		neuropathy foot problems	Direct Answer	Expert
CS_03009		hiatus hernia treatment	Guide	Expert
CS_03010		plano hospital	Generic	Expert
CS_03011		lower uric acid levels	Direct Answer	Expert
CS_03012		metastatic disease lung	Generic	Expert
CS_03013		metastatic cancer symptoms	Direct Answer	Expert
CS_03014		abnormal eeg	Generic	Expert
CS_03015		garlic side effects	Direct Answer	Expert
CS_03016		bone marrow biopsy procedure	Generic	Expert
CS_03017		rice allergy symptoms	Direct Answer	Expert
CS_03018		nursing care plans dysphagia	Direct Answer	Expert
CS_03019		causes of mold	Direct Answer	Expert
CS_03020		dsm 4 codes	Generic	General
CS_03021		what can cause leukemia	Direct Answer	Expert
CS_03022		neuro dermatitis	Generic	Expert
CS_03023		can allergies cause fever	Direct Answer	Expert
CS_03024		arthritis swelling hands	Generic	Expert
CS_03025		products for menopause	Generic	Expert
CS_03026		hiatal hernia repair	Direct Answer	Expert
CS_03027		bone cyst in foot	Direct Answer	Expert
CS_03028		symptoms of frozen shoulder	Direct Answer	Expert
CS_03029		rectovaginal fistula treatment	Guide	Expert
CS_03030		turmeric arthritis benefits	Generic	Expert
CS_03031		meniere s disease symptoms	Direct Answer	Expert
CS_03032		what do oncologists do	Generic	Expert
CS_03033		what is cooley anemia	Generic	Expert
CS_03034		how does a blood clot form	Guide	Expert
CS_03035		mayo clinic cholesterol	Direct Answer	General
CS_03036		skin rash relief itching	Generic	Expert
CS_03037		mild laxative	Generic	General
CS_03038		how to treat whiplash	Guide	Expert
CS_03039		mild tricuspid insufficiency	Generic	Expert
CS_03040		how to treat torticollis	Guide	Expert
CS_03041		tips to help quit smoking	Guide	Expert
CS_03042		ways to prevent obesity	Guide	Expert
CS_03043		shot records	Generic	General
CS_03044		what to use on fever blisters	Direct Answer	Expert
CS_03045		causes of foot tingling	Direct Answer	Expert
CS_03046		claudication symptoms	Direct Answer	Expert
CS_03047		high protein count in urine	Generic	Expert
CS_03048		diet after hemorrhoid surgery	Generic	Expert
CS_03049		medical containers	Generic	Expert
CS_03050		rabies side effects in humans	Direct Answer	Expert
CS_03051		lymph node under armpit	Generic	Expert
CS_03052		kidney treatment	Guide	Expert
CS_03053		red bugs in bed	Generic	Expert
CS_03054		metatarsal foot surgery	Direct Answer	Expert
CS_03055		doctors in bradenton fl	Generic	General
CS_03056		psi test results	Generic	General
CS_03057		intraocular lens reviews	Direct Answer	General
CS_03058		remedies for uti	Guide	Expert
CS_03059		button batteries	Generic	General
CS_03060		muscle pain in back of thigh	Generic	Expert
CS_03061		ankylosing spondylitis test	Generic	Expert
CS_03062		bladder retention	Generic	Expert
CS_03063		dental implants risks	Direct Answer	Expert
CS_03064		signs of mono	Direct Answer	Expert
CS_03065		lupus and bruising	Generic	Expert
CS_03066		swollen big toe gout	Generic	Expert
CS_03067		what causes type ii diabetes	Direct Answer	Expert
CS_03068		amoeba disease symptoms	Direct Answer	Expert
CS_03069		what are the blood types	Direct Answer	Expert
CS_03070		medical brand names	Generic	Expert
CS_03071		bipolar personality test	Direct Answer	Expert
CS_03072		bubonic plague symptoms	Direct Answer	Expert
CS_03073		red spots on skin treatment	Guide	Expert
CS_03074		colonoscopy and endoscopy	Generic	Expert
CS_03075		how to get rid of a black eye	Guide	Expert
CS_03076		thiazide diuretics list	Direct Answer	Expert
CS_03077		area code lookup 608	Generic	General
CS_03078		esophageal spasm	Generic	Expert
CS_03079		causes of cysts on liver	Direct Answer	Expert
CS_03080		fda side effects	Generic	Expert
CS_03081		recommended sodium intake	Generic	Expert
CS_03082		horizon healthcare	Generic	Expert
CS_03083		vitamin d12 deficiency	Direct Answer	Expert
CS_03084		sinus facial pain	Generic	Expert
CS_03085		high alt levels in blood	Generic	Expert
CS_03086		where to buy arsenic	Transactional	General
CS_03087		west nile virus bite pictures	Resource	General
CS_03088		high iga blood level	Generic	Expert
CS_03089		white rash on skin	Generic	Expert
CS_03090		surgical center	Generic	Expert
CS_03091		bitter gourd health benefits	Direct Answer	Expert
CS_03092		hypromellose side effects	Direct Answer	Expert
CS_03093		thyroid antibodies levels	Direct Answer	Expert
CS_03094		diabetes prevention	Direct Answer	Expert
CS_03095		tavr surgery	Generic	Expert
CS_03096		red yeast rice benefits	Direct Answer	Expert
CS_03097		rheumatoid arthritis diagnosis	Direct Answer	Expert
CS_03098		cancer stage 3b	Generic	Expert
CS_03099		pinched nerve in back	Direct Answer	Expert
CS_03100		about ovarian cancer	Generic	General
CS_03101		epilepsy signs and symptoms	Direct Answer	Expert
CS_03102		causes of swollen ovaries	Direct Answer	Expert
CS_03103		dx code lookup	Resource	Expert
CS_03104		what is a sickle cell	Generic	Expert
CS_03105		causes of obesity articles	Direct Answer	General
CS_03106		atrius my health	Generic	General
CS_03107		rash blisters on legs	Generic	Expert
CS_03108		charlie horse treatment	Guide	Expert
CS_03109		cluster headaches relief	Guide	Expert
CS_03110		treatment modalities	Guide	Expert
CS_03111		how severe is stage 4 cancer	Generic	Expert
CS_03112		lung disease prognosis	Direct Answer	Expert
CS_03113		how to treat angina	Guide	Expert
CS_03114		what are thyroids	Generic	Expert
CS_03115		tea for diabetes type 2	Generic	Expert
CS_03116		symptoms after depo injection	Direct Answer	Expert
CS_03117		psa level 8	Generic	Expert
CS_03118		type of pollution	Generic	General
CS_03119		causes of welts	Direct Answer	Expert
CS_03120		cpt code for venous doppler	Generic	Expert
CS_03121		lips swelling food allergy	Generic	Expert
CS_03122		belly hernia surgery	Generic	Expert
CS_03123		protruding disc	Generic	Expert
CS_03124		fungal infection of the lungs	Generic	Expert
CS_03125		watery burning eyes	Generic	Expert
CS_03126		reasons for tinnitus	Direct Answer	Expert
CS_03127		yellow fly bites symptoms	Direct Answer	Expert
CS_03128		hs disease pictures	Resource	General
CS_03129		population records	Direct Answer	General
CS_03130		about pneumonia	Generic	Expert
CS_03131		tumor in bile duct	Direct Answer	Expert
CS_03132		apple cider and diabetes	Generic	Expert
CS_03133		horse fly bite symptoms	Direct Answer	Expert
CS_03134		ocd disorder treatment	Guide	Expert
CS_03135		definition for physical health	Generic	Expert
CS_03136		ncmhce practice questions	Generic	General
CS_03137		remedies for oral thrush	Guide	Expert
CS_03138		cancer brochures	Resource	Expert
CS_03139		obesity in the united states	Generic	General
CS_03140		type 3 diabetes treatment	Direct Answer	Expert
CS_03141		how to irrigate ear	Guide	Expert
CS_03142		chronic hepatitis c	Generic	Expert
CS_03143		phonak hearing aids	Generic	Expert
CS_03144		broken hip pictures	Resource	General
CS_03145		how to stop sweaty hands	Guide	Expert
CS_03146		eye irritation and pain	Generic	Expert
CS_03147		how does a stroke happen	Direct Answer	Expert
CS_03148		shingles vaccine after shingles	Direct Answer	Expert
CS_03149		leg artery disease symptoms	Direct Answer	Expert
CS_03150		vicks dayquil dosage	Direct Answer	Expert
CS_03151		surgery for broken neck	Generic	Expert
CS_03152		uncontrollable shaking	Generic	Expert
CS_03153		causes of nose twitching	Direct Answer	Expert
CS_03154		normal lymphocyte range	Direct Answer	Expert
CS_03155		lipoma removal surgery	Generic	Expert
CS_03156		blood pressure herbs	Direct Answer	Expert
CS_03157		nursing procedure manual	Resource	Expert
CS_03158		oxygen therapy benefits	Direct Answer	Expert
CS_03159		what is abnormal thyroid	Generic	Expert
CS_03160		lump on jaw bone	Generic	Expert
CS_03161		denture reline procedure	Guide	Expert
CS_03162		multiple sclerosis neurologist	Generic	Expert
CS_03163		what is candidiasis	Generic	Expert
CS_03164		lump in hand	Generic	Expert
CS_03165		how to prevent mrsa	Guide	Expert
CS_03166		senile keratosis treatment	Guide	Expert
CS_03167		low urine creatinine	Direct Answer	Expert
CS_03168		lymph glands location	Direct Answer	Expert
CS_03169		adrenal gland mass	Generic	Expert
CS_03170		food eat upset stomach	Direct Answer	Expert
CS_03171		how long to heal	Direct Answer	Expert
CS_03172		right leg thigh pain	Generic	Expert
CS_03173		amish hex signs	Direct Answer	Expert
CS_03174		what causes glossitis	Direct Answer	Expert
CS_03175		lipid profile normal ranges	Generic	Expert
CS_03176		atelectasis lung base	Direct Answer	Expert
CS_03177		heel and leg pain	Generic	Expert
CS_03178		hot flashes and chills	Generic	Expert
CS_03179		pain in right thigh muscle	Generic	Expert
CS_03180		can coq10 lower cholesterol	Direct Answer	Expert
CS_03181		farsighted correction	Direct Answer	Expert
CS_03182		where can i buy linseed oil	Transactional	General
CS_03183		how to cure gum infection	Guide	Expert
CS_03184		what is atelectasis of lung	Generic	Expert
CS_03185		eye lift plastic surgery	Generic	Expert
CS_03186		elevated liver count	Generic	Expert
CS_03187		bladder irritants	Generic	Expert
CS_03188		diverticular disease diet	Generic	Expert
CS_03189		root canal treatment	Guide	Expert
CS_03190		cigna eye doctors	Generic	Expert
CS_03191		degenerative knee	Generic	Expert
CS_03192		natural cures for incontinence	Direct Answer	Expert
CS_03193		causes of facial rash	Direct Answer	Expert
CS_03194		laminine dangers	Direct Answer	Expert
CS_03195		enlarged spleen cancer	Generic	Expert
CS_03196		carbuncles boils pictures	Resource	General
CS_03197		chronic blood clot in leg	Generic	Expert
CS_03198		pain in ankle symptoms	Direct Answer	Expert
CS_03199		neurodegenerative disease	Generic	Expert
CS_03200		thyroid and body temperature	Generic	Expert
CS_03201		relief from muscle pain	Generic	Expert
CS_03202		exercises for tmj pain	Generic	Expert
CS_03203		left chest pain	Generic	Expert
CS_03204		plaque symptoms	Direct Answer	Expert
CS_03205		spinal claudication symptoms	Direct Answer	Expert
CS_03206		rh negative blood	Generic	Expert
CS_03207		intestinal bacteria types	Direct Answer	Expert
CS_03208		what can cause ringworm	Direct Answer	Expert
CS_03209		fast food cause obesity	Direct Answer	Expert
CS_03210		colonoscopy surgery	Generic	Expert
CS_03211		sick chicken symptoms	Direct Answer	Expert
CS_03212		testicular hernia treatment	Guide	Expert
CS_03213		knee joint problems	Generic	Expert
CS_03214		side effects of jarro dophilus	Direct Answer	Expert
CS_03215		symptoms of septicemia	Direct Answer	Expert
CS_03216		cidex opa msds	Generic	Expert
CS_03217		noise in ears symptoms	Direct Answer	Expert
CS_03218		disc protrusion treatment	Guide	Expert
CS_03219		torn meniscus knee exercises	Generic	Expert
CS_03220		umdnj clinic	Generic	General
CS_03221		pseudo dementia symptoms	Direct Answer	Expert
CS_03222		causes of abnormal pap	Direct Answer	Expert
CS_03223		natural cure for heartburn	Direct Answer	Expert
CS_03224		chicken pox pictures kids	Resource	General
CS_03225		pickers nodule treatment	Guide	Expert
CS_03226		compression fracture l4	Generic	Expert
CS_03227		symptoms of your period	Direct Answer	Expert
CS_03228		ibuprofen and the kidneys	Generic	Expert
CS_03229		nitrofur-macr 100	Generic	Expert
CS_03230		hospitals in massachusetts	Generic	General
CS_03231		dangers of enlarged heart	Generic	Expert
CS_03232		fumaric acid side effects	Direct Answer	Expert
CS_03233		new cancer treatments	Guide	Expert
CS_03234		what is fatty tumor	Generic	Expert
CS_03235		where can i buy dmso	Transactional	Expert
CS_03236		fluid retention after surgery	Generic	Expert
CS_03237		hyponatremia definition	Generic	Expert
CS_03238		bowens skin disease	Generic	Expert
CS_03239		painful lump on shoulder	Generic	Expert
CS_03240		symptoms of low t in men	Direct Answer	Expert
CS_03241		home treatment vertigo	Guide	Expert
CS_03242		causes of crime	Direct Answer	Expert
CS_03243		thrombosis leg symptoms	Direct Answer	Expert
CS_03244		what stops vomiting	Generic	Expert
CS_03245		what causes trisomy	Direct Answer	Expert
CS_03246		esophageal cancer stent	Generic	Expert
CS_03247		documentation in nursing	Generic	Expert
CS_03248		treatment for lymphedema	Direct Answer	Expert
CS_03249		treating ganglion cysts	Guide	Expert
CS_03250		how does hiv cause aids	Direct Answer	Expert
CS_03251		keloid scar pictures	Resource	General
CS_03252		foot neuropathy symptoms	Direct Answer	Expert
CS_03253		high hemoglobin causes of	Direct Answer	Expert
CS_03254		depo shot side effects	Direct Answer	Expert
CS_03255		persistent sore throat	Generic	Expert
CS_03256		how to get rid of my period	Guide	Expert
CS_03257		watson white pill 932	Generic	Expert
CS_03258		hemorrhagic cyst symptoms	Direct Answer	Expert
CS_03259		about aspirin	Generic	Expert
CS_03260		who is at risk for diabetes	Generic	Expert
CS_03261		causes of contamination	Direct Answer	Expert
CS_03262		broward county doctors	Direct Answer	General
CS_03263		cure for hard stools	Direct Answer	Expert
CS_03264		best treatment for bronchitis	Guide	Expert
CS_03265		dnr dni form	Resource	Expert
CS_03266		what is best for neck pain	Generic	Expert
CS_03267		double pneumonia recovery	Generic	Expert
CS_03268		end stage renal disease	Generic	Expert
CS_03269		rsv contagious period	Direct Answer	Expert
CS_03270		ptsd in vietnam vets	Generic	Expert
CS_03271		potassium levels in body	Generic	Expert
CS_03272		best heart transplant centers	Direct Answer	General
CS_03273		symptons of constipation	Direct Answer	Expert
CS_03274		vitiligo children pictures	Resource	Expert
CS_03275		ovarian teratoma symptoms	Direct Answer	Expert
CS_03276		lupus skin lesions images	Resource	Expert
CS_03277		tylenol and liver damage	Generic	Expert
CS_03278		chiggers what are they	Generic	Expert
CS_03279		autism red flags in toddlers	Generic	Expert
CS_03280		is hep c contagious	Direct Answer	Expert
CS_03281		sinus balloon procedure	Generic	Expert
CS_03282		collar bone cancer symptoms	Direct Answer	Expert
CS_03283		platlet count range	Direct Answer	Expert
CS_03284		chronic kidney disease stages	Generic	Expert
CS_03285		what is snap do virus	Generic	Expert
CS_03286		prostate health index	Generic	Expert
CS_03287		water erosion prevention	Generic	Expert
CS_03288		eye hematoma treatment	Guide	Expert
CS_03289		children scarlet fever	Generic	Expert
CS_03290		arthritis spine symptoms	Direct Answer	Expert
CS_03291		causes abnormal pap smear	Direct Answer	Expert
CS_03292		bariatric surgery guidelines	Guide	Expert
CS_03293		aphthous ulcers images	Resource	Expert
CS_03294		natural relief for diarrhea	Guide	Expert
CS_03295		shoulder mri arthrogram	Direct Answer	Expert
CS_03296		bleeding with diverticulitis	Generic	Expert
CS_03297		amorphophallus konjac	Generic	Expert
CS_03298		mucocele treatment	Guide	Expert
CS_03299		what can i take for dry mouth	Generic	Expert
CS_03300		vestibular vertigo treatment	Guide	Expert
CS_03301		knee surgery procedures	Guide	Expert
CS_03302		foods fight inflammation	Direct Answer	Expert
CS_03303		stop sinus drainage	Generic	Expert
CS_03304		round worms in humans	Generic	Expert
CS_03305		defibrillator vest	Generic	Expert
CS_03306		hand washing fact sheet	Resource	General
CS_03307		how to file medical records	Guide	Expert
CS_03308		multiple myelitis	Generic	Expert
CS_03309		signs of cancer in woman	Direct Answer	Expert
CS_03310		fluid in body	Generic	Expert
CS_03311		painful bumps on fingers	Generic	Expert
CS_03312		decompressive laminectomy	Generic	Expert
CS_03313		retinal hole repair	Generic	Expert
CS_03314		thyroid surgery procedure	Generic	Expert
CS_03315		valerian root sleep	Generic	Expert
CS_03316		diet for meniere disease	Guide	Expert
CS_03317		benefits of arnica montana	Direct Answer	Expert
CS_03318		mercury poisoning treatment	Guide	Expert
CS_03319		electromagnetic harassment	Generic	Expert
CS_03320		acupuncture for stroke	Generic	Expert
CS_03321		risks of low cholesterol	Direct Answer	Expert
CS_03322		identify rash pictures	Resource	Expert
CS_03323		pictures of sun rash	Resource	General
CS_03324		names of mood disorders	Generic	Expert
CS_03325		drg code diagnosis	Direct Answer	Expert
CS_03326		how do you help an alcoholic	Guide	Expert
CS_03327		endocarditis symptoms	Direct Answer	Expert
CS_03328		what is rite aid hours	Generic	Expert
CS_03329		upper shoulder pain	Generic	Expert
CS_03330		samsung warranty	Generic	General
CS_03331		fractures of the spine	Direct Answer	Expert
CS_03332		sacred heart hospital	Generic	Expert
CS_03333		strongest antibiotic	Direct Answer	Expert
CS_03334		lymphoma society	Navigational	General
CS_03335		pancreas lymph nodes	Generic	Expert
CS_03336		sleep apnea herbal remedies	Direct Answer	Expert
CS_03337		food for gallbladder	Generic	Expert
CS_03338		bruising and leukemia	Generic	Expert
CS_03339		what is cervical vertigo	Generic	Expert
CS_03340		how do i get rid of eczema	Guide	Expert
CS_03341		symptoms of ring worm	Direct Answer	Expert
CS_03342		quick facts	Generic	General
CS_03343		bone tumor	Generic	Expert
CS_03344		renal cell cancer	Generic	Expert
CS_03345		what cause itchy eyes	Direct Answer	Expert
CS_03346		body cleanse drinks	Generic	Expert
CS_03347		nmfc code search	Navigational	General
CS_03348		depression after stroke	Generic	Expert
CS_03349		nuclear medicine side effects	Direct Answer	Expert
CS_03350		types of malignant tumors	Direct Answer	Expert
CS_03351		symptoms of triple e virus	Direct Answer	Expert
CS_03352		non invasive spinal surgery	Generic	Expert
CS_03353		icd 9 code for mesothelioma	Generic	Expert
CS_03354		low salt foods	Direct Answer	Expert
CS_03355		constipation relief products	Generic	Expert
CS_03356		pacemaker defibulator	Generic	Expert
CS_03357		hips and legs ache	Generic	Expert
CS_03358		inner thigh lift surgery	Generic	Expert
CS_03359		heart attack articles	Generic	General
CS_03360		environmental pollution effects	Direct Answer	General
CS_03361		what a chigger	Generic	Expert
CS_03362		t b symtoms	Direct Answer	Expert
CS_03363		drg reimbursement	Generic	Expert
CS_03364		what causes dry hands	Direct Answer	Expert
CS_03365		bird mites live on humans	Generic	Expert
CS_03366		how much chia seeds per day	Generic	Expert
CS_03367		what is an neurologist	Generic	General
CS_03368		how to treat a skin boil	Guide	Expert
CS_03369		swelling in legs	Generic	Expert
CS_03370		cirrhosis liver treatment	Guide	Expert
CS_03371		mast cell disease symptoms	Direct Answer	Expert
CS_03372		5mm kidney stone	Direct Answer	Expert
CS_03373		lyme disease specialist ct	Direct Answer	Expert
CS_03374		curamed reviews	Generic	General
CS_03375		lecithin cholesterol lowering	Direct Answer	Expert
CS_03376		l3-4 disc herniation	Generic	Expert
CS_03377		health symptoms of mold	Direct Answer	Expert
CS_03378		balboa navy hospital	Generic	Expert
CS_03379		fatty fish list	Direct Answer	General
CS_03380		too much potassium symptoms	Direct Answer	Expert
CS_03381		right swollen ankle	Direct Answer	Expert
CS_03382		cure uti naturally	Guide	Expert
CS_03383		flax oil and side effects	Direct Answer	Expert
CS_03384		nerve problems	Generic	Expert
CS_03385		air in bowel	Generic	Expert
CS_03386		cyst on side of knee	Generic	Expert
CS_03387		is tea good for diabetics	Direct Answer	Expert
CS_03388		diet for lyme disease	Generic	Expert
CS_03389		urodynamics exam	Generic	Expert
CS_03390		symptoms of pylori infection	Direct Answer	Expert
CS_03391		otc medication for diarrhea	Generic	Expert
CS_03392		burning pain in upper arm	Generic	Expert
CS_03393		bun normal value	Generic	Expert
CS_03394		what is beta carotene	Generic	Expert
CS_03395		hernia pictures in men	Resource	General
CS_03396		side effects of a tubal	Direct Answer	Expert
CS_03397		cancer spread to liver	Generic	Expert
CS_03398		kentucky state medical board	Generic	General
CS_03399		plastic surgery questions	Direct Answer	Expert
CS_03400		pictures of toxoplasmosis	Resource	General
CS_03401		sensations in legs	Generic	Expert
CS_03402		polio leg braces	Direct Answer	Expert
CS_03403		list of neurologists	Direct Answer	General
CS_03404		va hospital in dublin ga	Direct Answer	General
CS_03405		mgus neuropathy treatment	Guide	Expert
CS_03406		what can cause seizure	Direct Answer	Expert
CS_03407		egfr non afr american low	Generic	Expert
CS_03408		prolapsed urethra	Generic	Expert
CS_03409		root canal price	Transactional	Expert
CS_03410		how does lice spread	Direct Answer	Expert
CS_03411		cpap mask reviews	Generic	General
CS_03412		shingles symptoms on toes	Direct Answer	Expert
CS_03413		what is mssa	Generic	Expert
CS_03414		home remedies for cataract	Guide	Expert
CS_03415		immunoglobulin a qn serum	Generic	Expert
CS_03416		low bone density symptoms	Direct Answer	Expert
CS_03417		adult immunization record	Generic	Expert
CS_03418		knee replacement injections	Direct Answer	Expert
CS_03419		mrsa rates by hospital	Direct Answer	General
CS_03420		pessary reviews	Direct Answer	General
CS_03421		stop itching	Direct Answer	Expert
CS_03422		protocel 23	Generic	Expert
CS_03423		spastic colon	Generic	Expert
CS_03424		biopsy of prostate	Generic	Expert
CS_03425		symptoms schizophrenia	Direct Answer	Expert
CS_03426		tricare eye doctor	Direct Answer	General
CS_03427		depression symptoms checklist	Resource	Expert
CS_03428		bladder scan	Generic	Expert
CS_03429		pictures of armpit boils	Resource	General
CS_03430		picture of a colostomy	Resource	Expert
CS_03431		how to fix bow legs	Guide	Expert
CS_03432		what is good for itchy eyes	Direct Answer	Expert
CS_03433		small hard bumps under skin	Generic	Expert
CS_03434		high psa levels no cancer	Generic	Expert
CS_03435		coping skills in recovery	Generic	Expert
CS_03436		thyroid scan side effects	Direct Answer	Expert
CS_03437		jejunostomy feeding tube	Generic	Expert
CS_03438		dental x rays	Generic	Expert
CS_03439		where to find stinging nettle	Direct Answer	Expert
CS_03440		pancreatitis symptoms in men	Direct Answer	Expert
CS_03441		the normal heart rate	Generic	Expert
CS_03442		pain after lumbar fusion	Generic	Expert
CS_03443		dermoid tumor	Generic	Expert
CS_03444		evlt cost	Transactional	Expert
CS_03445		wrist fracture recovery time	Direct Answer	Expert
CS_03446		disc degeneration	Generic	Expert
CS_03447		cost of emg test	Transactional	Expert
CS_03448		right side back pain	Generic	Expert
CS_03449		why numbness in fingers	Generic	Expert
CS_03450		patient release form	Resource	Expert
CS_03451		meningitis and symptoms	Direct Answer	Expert
CS_03452		how do i stop dizziness	Guide	Expert
CS_03453		ear fungal infection pictures	Resource	General
CS_03454		acute pancreatitis prognosis	Direct Answer	Expert
CS_03455		alum medical uses	Direct Answer	Expert
CS_03456		first aid for blister	Resource	Expert
CS_03457		hand surgery for trigger finger	Generic	Expert
CS_03458		what causes raw mouth	Direct Answer	Expert
CS_03459		bronchogenic carcinoma	Generic	Expert
CS_03460		what is the symptoms of malaria	Direct Answer	Expert
CS_03461		vascular ultrasound	Generic	Expert
CS_03462		sinus and vertigo	Generic	Expert
CS_03463		bee sting swelling and itching	Generic	Expert
CS_03464		c pack antibiotics	Generic	Expert
CS_03465		surgery complications	Generic	Expert
CS_03466		causes of sepsis infection	Direct Answer	Expert
CS_03467		blurry vision treatment	Guide	Expert
CS_03468		burning bladder	Generic	Expert
CS_03469		radon limits	Direct Answer	Expert
CS_03470		goat health problems	Generic	Expert
CS_03471		psychotic depression test	Generic	Expert
CS_03472		what can cause wheezing	Direct Answer	Expert
CS_03473		gastric stomach cancer	Generic	Expert
CS_03474		syphilis in mouth symptoms	Direct Answer	Expert
CS_03475		hyperlipidemia guidelines	Guide	Expert
CS_03476		healthcare transportation	Generic	General
CS_03477		st john wort for anxiety	Generic	Expert
CS_03478		gallbladder photos	Resource	General
CS_03479		cascara sagrada benefits	Generic	Expert
